Event Id,Investigation Type,Event Date,Location,Country,Latitude,Longitude,Fatalities
20040819X01260,Accident,7/8/03,Port Sudan, Sudan,19.5,37.333333,115
20070517X00575,Accident,5/5/07,Douala, Cameroon,4.0510564,9.7678687,114
20081219X65319,Accident,5/3/06,Sochi, Russia,43.6028079,39.7341543,113
20001212X21421,Accident,7/25/00,Paris-Gonesse, France,48.9864632,2.4497721,113
20060126X00122,Accident,12/10/05,Port Harcourt, Nigeria,4.815554,7.0498442,107
20050207X00143,Accident,2/3/05,Kabul, Afghanistan,34.5553494,69.207486,104
20100512X53621,Accident,5/12/10,Tripoli, Libya,32.8872094,13.1913383,103
20070108X00016,Accident,1/1/07,Makassar, Indonesia,-3.916667,118.216667,102
20030402X00424,Accident,3/6/03,Tamanrassett, Algeria,22.7888209,5.5258107,102
20061221X01835,Accident,10/29/06,Abuja, Nigeria,9.006667,7.263333,96
20020328X00414,Accident,1/28/02,Ipiales, Colombia,0.825542,-77.639504,92
20020123X00103,Accident,9/11/01,New York City, NY,40.711667,-74.0125,92
20100126X35439,Accident,1/25/10,Beirut, Lebanon,39.821111,35.488333,90
20100429X00503,Accident,4/10/10,Smolensk, Russia,54.7903112,32.0503663,89
20070921X01426,Accident,9/16/07,Phuket, Thailand,7.9519331,98.3380884,89
20080920X01508,Accident,9/14/08,Perm, Russia,58.0296813,56.2667916,88
20001212X20339,Accident,1/31/00,Port Hueneme, CA,34.1477829,-119.1951074,88
20010330X00677,Accident,10/31/00,Taipei, Taiwan,25.0329694,121.5654177,83
20110711X20245,Accident,7/8/11,Kisangani, Congo,0.5185,25.2008,77
20030110X00048,Accident,1/8/03,Diyarbakir, Turkey,37.9249733,40.2109826,75
